ASIN,Category,Product Link,No of Sellers,Rank,Rating,Reviews Count,Price,Books,Camera & Photo,"Clothing, Shoes & Jewelry",Electronics,Gift Cards,Toys & Games,Video Games,Product Title
B079QHML21,Electronics,https://www.amazon.com/gp/offer-listing/B079QHML21/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,1,4.7,640721,39.99,0,0,0,1,0,0,0,Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls) | Dolby Vision
B07FZ8S74R,Electronics,https://www.amazon.com/gp/offer-listing/B07FZ8S74R/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,2,4.7,854114,34.99,0,0,0,1,0,0,0,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal"
B07XJ8C8F5,Electronics,https://www.amazon.com/gp/offer-listing/B07XJ8C8F5/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,3,4.7,267821,44.99,0,0,0,1,0,0,0,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal"
B07WVFCVJN,Electronics,https://www.amazon.com/gp/offer-listing/B07WVFCVJN/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,27,4,4.8,114267,28.48,0,0,0,1,0,0,0,"Roku Express | HD Roku Streaming Device with Simple Remote (no TV controls), Free & Live TV"
B08YT2N5SX,Electronics,https://www.amazon.com/gp/offer-listing/B08YT2N5SX/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,5,4.7,267821,49.99,0,0,0,1,0,0,0,Echo Dot (4th Gen) | Charcoal with Sengled Bluetooth Color bulb | Alexa smart home starter kit
B07TMJ1R3X,Electronics,https://www.amazon.com/gp/offer-listing/B07TMJ1R3X/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,6,4.6,100278,89.99,0,0,0,1,0,0,0,"Fire HD 8 tablet, 8"" HD display, 32 GB, (2020 release), designed for portable entertainment, Black"
B07X6C9RMF,Electronics,https://www.amazon.com/gp/offer-listing/B07X6C9RMF/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,7,4.5,111650,34.99,0,0,0,1,0,0,0,"Blink Mini - Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)"
B08BX7FV5L,Electronics,https://www.amazon.com/gp/offer-listing/B08BX7FV5L/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,8,4.5,1228,23.995,0,0,0,1,0,0,0,"Amazon Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Black"
B075XLWML4,Electronics,https://www.amazon.com/gp/offer-listing/B075XLWML4/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,67,9,4.7,85934,39.0,0,0,0,1,0,0,0,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Roku Voice Remote with TV Controls
B089DR29T6,Electronics,https://www.amazon.com/gp/offer-listing/B089DR29T6/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,10,4.7,434174,24.99,0,0,0,1,0,0,0,"Amazon Smart Plug | Works with Alexa | Simple setup, endless possibilities"
